,Start,End,Twoday,Meeting,Press Conference,Record of Policy Actions,Minutes,Beige Book,Tealbook A,Tealbook B,Greenbook,Bluebook,Redbook,Longer-Run Goals,Memoranda,Statement,Supplement,Transcript,Individual Projections
79,1950-10-11 00:00:00,1950-10-11 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19501011.pdf,Documents/Minutes/1950/FOMChistmin19501011.pdf,,,,,,,,,,,,
80,1950-10-30 00:00:00,1950-10-30 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19501030.pdf,Documents/Minutes/1950/FOMChistmin19501030.pdf,,,,,,,,,,,,
81,1950-11-27 00:00:00,1950-11-27 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19501127.pdf,Documents/Minutes/1950/FOMChistmin19501127.pdf,,,,,,,,,,,,
82,1951-01-31 00:00:00,1951-01-31 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19510131.pdf,Documents/Minutes/1951/FOMChistmin19510131.pdf,,,,,,,,,,,,
83,1951-02-06 00:00:00,1951-02-08 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19510208.pdf,Documents/Minutes/1951/FOMChistmin19510208.pdf,,,,,,,,,,,,
84,1951-03-01 00:00:00,1951-03-02 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19510302.pdf,Documents/Minutes/1951/FOMChistmin19510302.pdf,,,,,,,,,,,,
85,1951-03-08 00:00:00,1951-03-08 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19510308.pdf,Documents/Minutes/1951/FOMChistmin19510308.pdf,,,,,,,,,,,,
86,1951-05-17 00:00:00,1951-05-17 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19510517.pdf,Documents/Minutes/1951/FOMChistmin19510517.pdf,,,,,,,,,,,,
87,1951-10-04 00:00:00,1951-10-04 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19511004.pdf,Documents/Minutes/1951/FOMChistmin19511004.pdf,,,,,,,,,,,,
88,1951-11-14 00:00:00,1951-11-14 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1951/fomcropa19511114.pdf,Documents/Minutes/1951/FOMChistmin19511114.pdf,,,,,,,,,,,,
89,1952-02-29 00:00:00,1952-02-29 00:00:00,0,Meeting,0,,Documents/Minutes/1952/FOMChistmin19520229.pdf,,,,,,,,,,,,
90,1952-03-01 00:00:00,1952-03-01 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1952/fomcropa19520301.pdf,Documents/Minutes/1952/FOMChistmin19520301.pdf,,,,,,,,,,,,
91,1952-06-19 00:00:00,1952-06-19 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1952/fomcropa19520619.pdf,Documents/Minutes/1952/FOMChistmin19520619.pdf,,,,,,,,,,,,
92,1952-09-25 00:00:00,1952-09-25 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1952/fomcropa19520925.pdf,Documents/Minutes/1952/FOMChistmin19520925.pdf,,,,,,,,,,,,
93,1952-12-08 00:00:00,1952-12-08 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1952/fomcropa19521208.pdf,Documents/Minutes/1952/FOMChistmin19521208.pdf,,,,,,,,,,,,
94,1953-03-04 00:00:00,1953-03-05 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1953/fomcropa19530305.pdf,Documents/Minutes/1953/FOMChistmin19530305.pdf,,,,,,,,,,,,
95,1953-06-11 00:00:00,1953-06-11 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1953/fomcropa19530611.pdf,Documents/Minutes/1953/FOMChistmin19530611.pdf,,,,,,,,,,,,
96,1953-09-24 00:00:00,1953-09-24 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1953/fomcropa19530924.pdf,Documents/Minutes/1953/FOMChistmin19530924.pdf,,,,,,,,,,,,
97,1953-12-15 00:00:00,1953-12-15 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1953/fomcropa19531215.pdf,Documents/Minutes/1953/FOMChistmin19531215.pdf,,,,,,,,,,,,
98,1954-03-03 00:00:00,1954-03-03 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1954/fomcropa19540303.pdf,Documents/Minutes/1954/FOMChistmin19540303.pdf,,,,,,,,,,,,
99,1954-06-23 00:00:00,1954-06-23 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1954/fomcropa19540623.pdf,Documents/Minutes/1954/FOMChistmin19540623.pdf,,,,,,,,,,,,
100,1954-09-22 00:00:00,1954-09-22 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1954/fomcropa19540922.pdf,Documents/Minutes/1954/FOMChistmin19540922.pdf,,,,,,,,,,,,
101,1954-12-07 00:00:00,1954-12-07 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1954/fomcropa19541207.pdf,Documents/Minutes/1954/FOMChistmin19541207.pdf,,,,,,,,,,,,
102,1955-01-11 00:00:00,1955-01-11 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550111.pdf,Documents/Minutes/1955/FOMChistmin19550111.pdf,,,,,,,,,,,,
103,1955-03-02 00:00:00,1955-03-02 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550302.pdf,Documents/Minutes/1955/FOMChistmin19550302.pdf,,,,,,,,,,,,
104,1955-05-10 00:00:00,1955-05-10 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550510.pdf,Documents/Minutes/1955/FOMChistmin19550510.pdf,,,,,,,,,,,,
105,1955-06-22 00:00:00,1955-06-22 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550622.pdf,Documents/Minutes/1955/FOMChistmin19550622.pdf,,,,,,,,,,,,
106,1955-07-12 00:00:00,1955-07-12 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550712.pdf,Documents/Minutes/1955/FOMChistmin19550712.pdf,,,,,,,,,,,,
